Domainname,Betreiber,Stadt,Land
bund.de, Bundesverwaltungsamt, Köln, NRW
bsi.bund.de, Bundesamt für Sicherheit in der Informationstechnik, Bonn, NRW
bmg.bund.de, Bundesministerium für Gesundheit, Bonn, NRW
bnd.bund.de, Bundesnachrichtendienst, Berlin, BE
bmi.bund.de, Bundesministerium des Innern, Berlin, BE
bmub.bund.de, Bundesministerium für Umwelt, Naturschutz, Bau und Reaktorsicherheit, Berlin, BE
verfassungsschutz.de, Bundesamt für Verfassungsschutz, Köln, NRW
bundesdruckerei.de, Bundesdruckerei GmbH, Berlin, BE
bundestag.de, Deutscher Bundestag, Berlin, BE
bremen.de, bremen.online GmbH, Bremen, HB
bundesregierung.de, Presse- und Informationsamt der Bundesregierung, Berlin, BE
zoll.de, Bundesministerium der Finanzen, Bonn, NRW
bundesfinanzministerium.de, Bundesministerium der Finanzen, Bonn, NRW
sicher-im-netz.de, Deutschland sicher im Netz e.V., Berlin, BE
bmvi.de, Bundesministerium für Verkehr und digitale Infrastruktur, Berlin, BE
bmel.de, Bundesministerium für Ernährung und Landwirtschaft, Berlin, BE
bmjv.de, Bundesministerium der Justiz und für Verbraucherschutz, Berlin, BE
bmwi.de, Bundesministerium für Wirtschaft und Energie, Berlin, BE
auswaertiges-amt.de, Auswärtiges Amt, Berlin, BE
bmas.de, Bundesministerium für Arbeit und Soziales, Berlin, BE
bmvg.de, Bundesministerium der Verteidigung, Berlin, BE
bmfsfj.de, Bundesministeriums für Familie, Senioren, Frauen und Jugend, Berlin, BE
bmbf.de, Bundesministerium für Bildung und Forschung, Berlin, BE
bmz.de, Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung, Berlin, BE
gesetze-im-internet.de, Bundesministerium der Justiz und für Verbraucherschutz, Berlin, BE
kmk.org, Ständigen Konferenz der Kultusminister der Länder in der Bundesrepublik Deutschland, Bonn, NRW
bpb.de, Bundeszentrale für politische Bildung, Bonn, NRW
17juni53.de, Bundeszentrale für politische Bildung, Bonn, NRW
chotzen.de, Bundeszentrale für politische Bildung, Bonn, NRW
chronik-der-mauer.de, Bundeszentrale für politische Bildung, Bonn, NRW
jugendopposition.de, Bundeszentrale für politische Bildung, Bonn, NRW
kinofenster.de, Bundeszentrale für politische Bildung, Bonn, NRW
spielbar.de, Bundeszentrale für politische Bildung, Bonn, NRW
pb21.de, Bundeszentrale für politische Bildung, Bonn, NRW
wir-waren-so-frei.de, Bundeszentrale für politische Bildung, Bonn, NRW
eurotopics.net, Bundeszentrale für politische Bildung, Bonn, NRW
fluter.de, Bundeszentrale für politische Bildung, Bonn, NRW
hanisauland.de, Bundeszentrale für politische Bildung, Bonn, NRW
sicherheitspolitik.bpb.de, Bundeszentrale für politische Bildung, Bonn, NRW
stuttgart.de, Landeshauptstadt Stuttgart, Stuttgart, BW
baden-wuerttemberg.de,Staatsministerium Baden-Württemberg, Stuttgart, BW
